City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,belomorsk,64.5232,34.7668,-0.24,98,100,4.51,RU,1682326764
291,jinchang,38.4953,102.1739,9.67,37,99,8.59,CN,1682326765
292,celestun,20.8667,-90.4,26.19,64,27,5.08,MX,1682326766
293,gakem,6.7658,8.9881,28.46,68,100,1.32,NG,1682326767
294,ixtapa,20.7,-105.2,22.35,73,48,1.33,MX,1682326768
295,kyaiklat,16.4333,95.7333,37.55,31,0,6.17,MM,1682326769
296,cidreira,-30.1811,-50.2056,20.24,87,37,6.32,BR,1682326770
297,birjand,32.8663,59.2211,29.26,8,75,4.12,IR,1682326771
298,nouadhibou,20.931,-17.0347,18.99,68,40,7.2,MR,1682326772
299,eraan,9.0629,117.7016,29.6,73,68,2.98,PH,1682326773
300,kruisfontein,-34.0033,24.7314,22.16,50,100,4.75,ZA,1682326774
301,hun,29.1268,15.9477,22.75,40,91,4.42,LY,1682326775
302,woolgoolga,-30.1106,153.2007,18.93,78,57,7.01,AU,1682326491
303,bandar-e lengeh,26.5579,54.8807,29.06,58,1,4.12,IR,1682326777
304,saint-philippe,-21.3585,55.7679,28.77,67,20,5.04,RE,1682326777
305,katsuura,35.1333,140.3,12.43,61,100,3.43,JP,1682326604
306,huangnihe,43.5583,128.0239,11.04,20,70,3.95,CN,1682326779
307,mata-utu,-13.2816,-176.1745,28.46,72,23,2.01,WF,1682326780
308,jakobstad,63.6749,22.7026,0.58,94,96,2.24,FI,1682326782
309,chernyshevskiy,63.0128,112.4714,-0.91,82,96,2.2,RU,1682326783
310,beyneu,45.3167,55.2,26.31,19,88,7.55,KZ,1682326784
311,howrah,22.5892,88.3103,22.0,83,100,4.12,IN,1682326785
312,brisas de zicatela,15.8369,-97.0419,26.09,84,52,2.74,MX,1682326786
313,usogorsk,63.4106,48.6872,0.95,97,100,2.89,RU,1682326787
314,rioblanco,3.5308,-75.6806,14.56,90,99,2.12,CO,1682326787
315,cambria,35.5641,-121.0808,12.21,93,0,3.21,US,1682326788
316,zeya,53.75,127.2667,3.52,42,76,3.91,RU,1682326789
317,hadibu,12.65,54.0333,30.55,56,89,0.87,YE,1682326790
318,gubkinskiy,64.434,76.5026,-2.57,83,100,11.62,RU,1682326791
319,papao,-17.75,-149.55,25.82,89,89,5.72,PF,1682326792
320,mizan teferi,6.9833,35.5833,28.11,45,53,0.55,ET,1682326793
321,lihue,21.9789,-159.3672,20.76,84,71,0.33,US,1682326794
322,bathsheba,13.2167,-59.5167,24.34,94,0,1.03,BB,1682326795
323,marrakesh,31.6315,-8.0083,21.04,52,0,2.06,MA,1682326774
324,altai,46.3722,96.2583,4.05,28,87,1.6,MN,1682326797
325,as samawah,31.332,45.2944,35.26,17,100,3.68,IQ,1682326798
326,villadossola,46.0732,8.2674,18.44,62,49,1.88,IT,1682326799
327,kirillov,59.863,38.3813,16.31,45,67,4.98,RU,1682326801
328,talnakh,69.4865,88.3972,2.34,91,16,3.21,RU,1682326802
329,new norfolk,-42.7826,147.0587,13.84,59,0,0.45,AU,1682326803
330,sanawad,22.1833,76.0667,38.39,6,68,5.15,IN,1682326562
331,dakhla,23.6848,-15.958,18.95,76,0,7.11,EH,1682326817
332,christchurch,-43.5333,172.6333,8.11,69,25,3.6,NZ,1682326646
333,corner brook,48.9667,-57.9484,0.94,87,100,4.06,CA,1682326827
334,verkhnevilyuysk,63.4453,120.3167,0.13,85,11,3.93,RU,1682326831
335,stornoway,58.2093,-6.3865,6.63,68,40,8.23,GB,1682326833
336,shetpe,44.1667,52.1167,24.59,22,100,11.77,KZ,1682326835
337,pocatello,42.8713,-112.4455,2.67,78,89,2.97,US,1682326837
338,tabou,4.423,-7.3528,28.51,76,100,3.06,CI,1682326838
339,el galpon,-25.3807,-64.6526,14.17,98,100,1.26,AR,1682326839
340,newman,37.3138,-121.0208,15.13,83,65,2.17,US,1682326840
341,balkashino,52.5167,68.7667,14.0,43,20,8.52,KZ,1682326841
342,sidi akkacha,36.4647,1.3026,22.03,49,0,1.6,DZ,1682326842
343,okhotsk,59.3833,143.3,0.28,82,99,1.24,RU,1682326843
344,nemuro,43.3236,145.575,2.96,88,100,5.21,JP,1682326703
345,airuk,7.2772,168.8203,28.03,81,100,9.15,MH,1682326846
346,westport,41.1415,-73.3579,8.51,87,61,1.34,US,1682326847
347,ta`u,-14.2336,-169.5144,27.63,72,32,3.94,AS,1682326849
348,bambari,5.768,20.6757,31.66,48,63,1.9,CF,1682326850
349,fort st. john,56.2499,-120.8529,2.44,82,100,1.79,CA,1682326851
350,pagar alam,-4.0167,103.2667,24.44,93,100,0.65,ID,1682326852
351,gleno,-8.7211,125.4359,23.41,90,75,0.8,TL,1682326853
352,qaqortoq,60.7167,-46.0333,-0.42,86,80,0.95,GL,1682326853
353,kamaishi,39.2667,141.8833,8.22,48,44,4.68,JP,1682326855
354,kibre mengist,5.8833,38.9833,26.3,44,81,2.95,ET,1682326856
355,rexburg,43.826,-111.7897,5.24,60,100,1.54,US,1682326857
356,porto velho,-8.7619,-63.9039,21.01,98,50,0.97,BR,1682326858
357,mahdia,35.5047,11.0622,23.97,44,1,4.98,TN,1682326859
358,pisco,-13.7,-76.2167,20.57,87,19,0.76,PE,1682326860
359,tonj,7.2737,28.6822,33.14,36,17,3.03,SS,1682326861
360,impfondo,1.6381,18.0667,30.57,52,88,1.13,CG,1682326862
361,antsiranana,-12.2787,49.2917,31.41,56,95,2.25,MG,1682326863
362,alicante,38.3452,-0.4815,25.69,49,0,1.03,ES,1682326865
